State,,"Total
all 
classes1","Violent
crime2","Property
crime2","Murder and
nonnegligent
manslaughter",Rape3,Robbery,"Aggravated
assault",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,"Other
assaults","Forgery and
counterfeiting",Fraud,Embezzlement,"Stolen
property;
buying,
receiving,
possessing",Vandalism,"Weapons;
carrying,
possessing,
etc.","Prostitution and
commercialized
vice","Sex offenses
(except
rape and
prostitution)","Drug 
abuse
violations",Gambling,"Offenses
against
the family
and
children","Driving
under the
influence","Liquor
laws",Drunkenness4,"Disorderly
conduct",Vagrancy,"All other
offenses
(except
traffic)",Suspicion,"Curfew
and
loitering
law
violations","Number
of
agencies","2016
estimated 
population"
ALABAMA,Under 18,"4,800",321,"1,229",15,32,109,165,318,833,72,6,777,20,24,1,121,190,93,0,29,191,0,44,28,225,31,378,2,"1,096",0,0,240,"3,800,629"
,Total all ages,"154,482","6,187","18,479",312,384,"1,177","4,314","3,004","14,495",880,100,"18,151","1,382","3,774",190,"2,020","1,583","1,681",1,706,"10,193",0,982,"8,126","2,496","7,283","2,129",67,"69,052",0,0,0,0
ALASKA,Under 18,"1,893",216,494,8,21,35,152,104,300,62,28,297,1,10,8,5,135,24,0,33,207,0,1,31,121,18,11,0,269,0,12,32,"738,566"
,Total all ages,"29,462","2,298","3,495",41,130,282,"1,845",538,"2,401",505,51,"4,300",96,236,81,82,"1,024",311,13,281,"1,006",0,195,"3,063",775,112,738,4,"11,340",0,12,0,0
ARIZONA,Under 18,"22,997","1,020","5,113",15,53,336,616,759,"3,968",341,45,"3,667",13,80,19,126,"1,761",221,2,259,"3,090",0,177,211,"1,668",84,"1,436",65,"2,924",0,"1,061",90,"6,391,343"
,Total all ages,"263,699","11,145","37,592",242,344,"1,849","8,710","3,957","31,907","1,551",177,"26,150","1,098","2,005",352,"1,341","10,031","2,878",387,"1,388","30,309",3,"2,520","23,498","9,745","14,100","15,874",351,"71,741",130,"1,061",0,0
ARKANSAS,Under 18,"8,045",424,"1,801",10,44,91,279,414,"1,308",74,5,"1,433",8,31,1,163,298,123,0,35,770,0,10,44,219,87,470,0,"1,765",0,363,271,"2,786,173"
,Total all ages,"132,165","4,860","13,791",143,289,561,"3,867","2,174","11,084",488,45,"11,849",813,"1,114",64,"1,437","1,460","1,040",277,119,"15,736",8,354,"6,703","1,769","6,589","2,425",890,"60,504",0,363,0,0
CALIFORNIA,Under 18,"58,758","7,015","12,519",92,275,"2,601","4,047","4,583","6,169","1,508",259,"8,977",62,180,15,982,"3,050","3,379",112,"1,123","6,291",3,3,493,"1,210",880,"1,264",101,"9,645",0,"1,454",613,"39,012,007"
,Total all ages,"1,118,712","106,828","115,354","1,437","2,560","15,866","86,965","40,808","54,720","18,521","1,305","80,835","5,000","6,324",955,"16,500","17,202","27,707","7,601","9,222","219,016",266,236,"129,752","8,857","69,869","3,906","6,597","285,231",0,"1,454",0,0
COLORADO,Under 18,"21,548",636,"4,753",6,52,126,452,432,"3,794",450,77,"1,697",6,63,7,32,833,294,1,102,"2,440",0,52,217,"1,389",47,"1,727",0,"6,099",0,"1,153",193,"5,008,754"
,Total all ages,"225,710","6,691","29,879",150,414,941,"5,186","2,571","24,495","2,585",228,"17,079",679,"2,512",101,456,"5,354","2,363",510,437,"14,790",3,"2,849","23,364","9,025",249,"7,486",453,"100,277",0,"1,153",0,0
CONNECTICUT,Under 18,"8,264",416,"1,902",5,28,161,222,261,"1,330",275,36,"1,974",13,35,5,54,432,178,1,71,581,0,45,41,49,0,"1,485",0,978,0,4,104,"3,526,707"
,Total all ages,"100,280","3,741","14,845",62,222,"1,016","2,441","1,935","11,971",842,97,"17,935",553,893,161,366,"2,063","1,185",212,348,"9,349",19,"1,450","8,533",225,8,"11,640",36,"26,714",0,4,0,0
DELAWARE,Under 18,"3,704",348,712,5,12,119,212,137,537,34,4,"1,008",3,70,2,119,207,98,0,33,340,0,0,0,84,1,287,0,345,0,47,56,"950,787"
,Total all ages,"33,553","2,224","7,165",29,58,526,"1,611","1,053","5,964",122,26,"6,630",290,"1,769",198,468,886,388,89,128,"4,289",1,195,355,884,345,"1,312",332,"5,558",0,47,0,0
DISTRICT OF COLUMBIA5,Under 18,671,83,47,0,0,58,25,0,44,3,0,75,0,0,0,14,20,35,0,0,19,0,0,0,0,0,39,0,338,0,1,2,0
,Total all ages,"10,271",161,132,1,2,94,64,0,122,10,0,360,1,9,0,22,43,83,0,5,328,0,2,11,"1,024",89,172,30,"7,798",0,1,0,0
"FLORIDA6, 7",Under 18,"57,843","3,861","17,688",45,248,"1,541","2,027","4,817","10,005","2,810",56,"8,670",45,388,26,157,"1,166",801,7,293,"5,584",4,0,109,496,0,0,0,"18,548",0,0,668,"20,566,240"
,Total all ages,"726,396","35,807","102,639",642,"1,747","6,521","26,897","18,037","76,139","8,211",252,"76,450","2,247","11,954","1,041","1,774","6,192","5,152","2,397","2,728","114,550",149,0,"35,042","14,280",0,0,0,"313,994",0,0,0,0
GEORGIA,Under 18,"22,646","1,282","5,599",60,42,514,666,"1,043","4,145",382,29,"3,636",65,112,8,373,620,551,12,418,"2,402",7,133,89,326,20,"2,184",99,"4,380",0,330,402,"8,150,300"
,Total all ages,"238,684","11,105","32,573",403,274,"2,018","8,410","4,506","26,601","1,328",138,"22,486","2,379","3,323",223,"2,819","3,643","3,141",455,"2,783","39,593",76,"2,944","18,939","4,262","1,442","14,886","1,574","69,708",0,330,0,0
HAWAII,Under 18,"3,597",175,688,1,23,72,79,85,545,50,8,470,2,8,0,21,121,15,3,42,454,0,1,23,92,4,95,3,"1,201",7,172,4,"1,428,557"
,Total all ages,"42,301","1,341","4,426",35,154,294,858,636,"3,365",389,36,"4,621",140,265,32,130,570,297,159,218,"2,574",76,17,"5,929",575,4,"1,074",3,"19,671",7,172,0,0
IDAHO,Under 18,"5,298",117,"1,028",0,23,8,86,163,788,57,20,668,1,33,1,30,247,77,0,60,730,0,40,61,324,30,237,0,"1,557",0,57,101,"1,324,720"
,Total all ages,"46,962","1,279","4,955",23,99,79,"1,078",808,"3,909",196,42,"4,270",111,252,40,243,761,306,11,209,"8,031",0,724,"6,195","1,324",254,"1,458",10,"16,472",0,57,0,0
ILLINOIS6,Under 18,"10,186","1,003","2,964",45,35,665,258,301,"1,161","1,489",13,"1,576",9,4,0,39,294,738,0,17,"1,343",44,6,7,32,0,877,0,"1,154",0,79,2,"2,872,516"
,Total all ages,"67,983","4,030","12,623",287,276,"1,631","1,836",992,"8,060","3,505",66,"13,371",128,183,0,87,"2,072","3,234",187,302,"12,958",456,254,"2,929",165,0,"3,756",4,"11,165",0,79,0,0
INDIANA,Under 18,"12,420",758,"3,074",12,19,298,429,317,"2,400",316,41,"2,161",18,68,3,83,447,255,2,105,"1,100",1,171,61,745,38,697,33,"2,374",8,218,204,"4,305,899"
,Total all ages,"143,554","7,323","19,954",160,193,"1,325","5,645","2,208","16,014","1,625",107,"12,547","1,351","1,670",204,547,"1,419","2,386",309,776,"18,041",21,"1,042","13,492","3,665","4,316","3,517",81,"50,656",19,218,0,0
IOWA,Under 18,"10,671",558,"2,556",3,34,110,411,391,"1,978",152,35,"1,560",21,39,8,47,766,120,1,64,935,0,3,71,689,99,"1,211",0,"1,519",0,404,206,"2,810,823"
,Total all ages,"95,962","4,876","13,033",55,154,396,"4,271","1,585","10,839",525,84,"7,790",584,752,79,177,"2,283",844,104,186,"9,550",5,"1,242","9,836","3,943","6,983","4,104",9,"29,178",0,404,0,0
KANSAS,Under 18,"4,081",170,910,6,25,33,106,84,738,69,19,643,5,10,8,47,226,54,1,42,668,0,8,58,408,0,204,0,619,0,0,228,"1,732,223"
,Total all ages,"53,823","1,948","4,899",50,126,205,"1,567",579,"3,907",363,50,"7,741",189,403,107,577,"1,458",541,56,138,"7,519",0,182,"5,923","2,593",134,"1,558",0,"17,857",0,0,0,0
KENTUCKY,Under 18,"5,639",402,"1,466",17,32,223,130,340,853,263,10,"1,039",20,13,7,464,184,95,0,33,501,0,5,66,26,57,230,0,"1,028",0,3,419,"4,424,357"
,Total all ages,"210,586","3,487","18,219",185,236,"1,122","1,944","2,994","14,286",886,53,"11,703","1,021","1,003",441,"2,628","1,132",891,252,297,"23,308",9,"4,547","16,901",94,"14,259","4,095",137,"106,159",0,3,0,0
LOUISIANA,Under 18,"19,018","1,328","4,669",28,112,333,855,"1,211","3,085",353,20,"3,061",10,38,4,372,600,452,11,172,"1,475",14,42,32,233,25,"2,537",51,"3,584",9,299,168,"4,183,659"
,Total all ages,"191,920","11,372","32,355",339,499,"1,646","8,888","5,422","25,436","1,388",109,"23,075",731,"1,473",172,"2,283","3,739","3,777",521,"1,355","27,529",79,"1,538","7,587","3,596","3,567","10,435",250,"56,154",33,299,0,0
MAINE,Under 18,"3,160",45,814,1,13,7,24,136,604,57,17,442,10,11,2,11,232,14,1,30,383,0,0,28,459,4,105,0,561,0,8,195,"1,328,762"
,Total all ages,"43,473",774,"5,668",16,61,139,558,681,"4,704",206,77,"4,719",229,552,66,90,"1,052",149,105,187,"5,430",1,122,"5,834","2,218",17,"1,309",0,"14,943",0,8,0,0
MARYLAND,Under 18,"19,506","1,935","4,862",11,74,"1,067",783,932,"3,169",620,141,"4,630",26,42,1,22,929,636,8,144,"2,167",19,10,60,512,8,873,23,"2,522",30,47,143,"5,197,665"
,Total all ages,"182,631","9,737","25,715",270,403,"3,223","5,841","4,777","19,083","1,502",353,"21,522",582,896,115,144,"2,721","3,181",584,687,"30,692",133,"1,972","17,809","5,398",14,"4,639",139,"55,773",131,47,0,0
MASSACHUSETTS,Under 18,"6,939",849,"1,285",6,28,185,630,213,928,111,33,"1,485",20,29,3,153,415,158,1,47,228,0,33,46,291,38,394,0,"1,464",0,0,342,"6,436,240"
,Total all ages,"119,180","9,656","14,973",58,303,"1,263","8,032","2,135","12,140",618,80,"19,027",469,"1,263",136,"1,084","2,692","1,238",553,418,"9,770",14,"1,231","9,008","2,000","5,600","4,329",11,"35,706",2,0,0,0
MICHIGAN,Under 18,"17,629","1,160","4,802",14,117,276,753,715,"3,695",325,67,"2,601",32,208,30,249,548,348,4,150,"2,207",3,4,194,"1,371",4,666,0,"2,723",0,325,606,"9,696,514"
,Total all ages,"255,900","12,163","26,295",166,760,"1,467","9,770","3,284","21,366","1,412",233,"27,475",652,"3,909","1,009","1,645","2,828","4,128",528,687,"38,780",37,"2,799","27,571","10,690",367,"6,536",241,"87,235",0,325,0,0
MINNESOTA,Under 18,"19,648",900,"4,993",6,101,359,434,426,"4,221",316,30,"2,120",17,147,8,285,895,392,2,147,"1,525",0,10,144,"1,795",0,"2,039",2,"3,280",0,947,365,"5,237,709"
,Total all ages,"135,455","5,404","25,116",103,565,"1,155","3,581","2,109","21,652","1,264",91,"13,688",985,"2,187",29,"1,684","3,057","1,786",344,"1,047","15,397",12,507,"19,196","8,054",1,"8,679",38,"27,297",0,947,0,0
MISSISSIPPI,Under 18,"3,812",131,817,6,8,87,30,191,594,26,6,559,0,21,1,44,109,131,2,13,273,1,263,66,29,23,511,15,709,4,90,63,"1,383,530"
